Rp_19	Rp_18
Rp_25	Rp_24
Rp_46	Rp_40
Rp_55	Rp_28
Rp_62	Rp_61
Rp_63	Rp_62
Rp_65	Rp_64
Rp_85	Rp_83
Rp_88	Rp_86
Rp_117	Rp_54
Rp_118	Rp_56
Rp_125	Rp_108
Rp_126	Rp_113
Rp_133	Rp_125
Rp_135	Rp_134
Rp_141	Rp_119
Rp_146	Rp_126
Rp_167	Rp_165
Rp_169	Rp_164
Rp_174	Rp_172
Rp_177	Rp_163
Rp_183	Rp_182
Rp_184	Rp_183
Rp_185	Rp_184
Rp_188	Rp_185
Rp_220	Rp_219
Rp_227	Rp_178
Rp_228	Rp_226
Rp_236	Rp_235
Rp_237	Rp_235
Rp_245	Rp_244
Rp_253	Rp_252
Rp_254	Rp_252
Rp_256	Rp_254
Rp_266	Rp_161
Rp_275	Rp_274
Rp_281	Rp_215
Rp_287	Rp_286
Rp_307	Rp_290
Rp_309	Rp_290
Rp_322	Rp_321
Rp_360	Rp_359
Rp_362	Rp_128
Rp_376	Rp_139
Rp_379	Rp_377
Rp_409	Rp_376
Rp_415	Rp_391
Rp_434	Rp_127
Rp_448	Rp_142
Rp_471	Rp_460
Rp_485	Rp_484
Rp_491	Rp_490
Rp_498	Rp_497
Rp_502	Rp_501
Rp_506	Rp_505
Rp_507	Rp_504
Rp_508	Rp_506
Rp_509	Rp_505
Rp_510	Rp_507
Rp_517	Rp_511
Rp_528	Rp_524
Rp_530	Rp_528
Rp_531	Rp_523
Rp_532	Rp_524
Rp_533	Rp_518
Rp_535	Rp_534
Rp_537	Rp_519
Rp_538	Rp_519
Rp_541	Rp_408
Rp_542	Rp_415
Rp_577	Rp_576
Rp_583	Rp_572
Rp_615	Rp_613
Rp_618	Rp_606
Rp_638	Rp_636
Rp_651	Rp_623
Rp_652	Rp_623
Rp_653	Rp_618
Rp_655	Rp_653
Rp_669	Rp_457
Rp_869	Rp_834
Rp_870	Rp_837
Rp_928	Rp_899
Rp_935	Rp_46
Rp_979	Rp_973
Rp_987	Rp_970
Rp_989	Rp_912
Rp_990	Rp_977
Rp_991	Rp_912
Rp_1006	Rp_975
Rp_1017	Rp_1011
Rp_1019	Rp_901
Rp_1045	Rp_1041
Rp_1114	Rp_1094
Rp_1149	Rp_1148
Rp_1172	Rp_1131
Rp_1257	Rp_1256
Rp_1259	Rp_1258
Rp_1291	Rp_882
Rp_1294	Rp_1293
Rp_1298	Rp_1297
Rp_1299	Rp_1298
Rp_1335	Rp_1334
Rp_1344	Rp_1342
Rp_1361	Rp_1360
Rp_1403	Rp_335
Rp_1406	Rp_1405
Rp_1513	Rp_1365
Rp_1514	Rp_1365
Rp_1518	Rp_1372
Rp_1553	Rp_1551
Rp_1560	Rp_1559
Rp_1571	Rp_1560
Rp_1575	Rp_1561
Rp_1577	Rp_1375
Rp_1584	Rp_1581
Rp_1588	Rp_1359
Rp_1590	Rp_1343
Rp_1592	Rp_1591
Rp_1594	Rp_1593
Rp_1607	Rp_1606
Rp_1795	Rp_1747
Rp_1800	Rp_1799
Rp_1801	Rp_1799
Rp_1822	Rp_1747
Rp_1891	Rp_1888
Rp_1914	Rp_1912
Rp_2055	Rp_2053
Rp_2085	Rp_2083
